Liver_DSC,Liver_IoU,Liver_Precision,Liver_Recall,Liver_VOE,Liver_RVD,Liver_ASSD,Liver_MSD,Liver_ICC,Tumor_DSC,Tumor_IoU,Tumor_Precision,Tumor_Recall,Tumor_VOE,Tumor_RVD,Tumor_ASSD,Tumor_MSD,Tumor_ICC
0.9937745,0.987626,0.99308753,0.9944624,0.012373984,0.0013844024,0.006225025997418334,1.0,0.9928268194198608,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99047035,0.9811206,0.9919951,0.98895025,0.018879414,-0.0030693677,0.02552633241667471,9.219544457292887,0.9894262552261353,0.9809663,0.9626437,0.9766764,0.9852941,0.037356317,0.00882353,0.019014748756645515,1.0,0.9805711507797241
0.9893283,0.978882,0.99746835,0.98132,0.021117985,-0.01618929,0.08241710503197613,14.866068747318506,0.9888178706169128,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.98694515,0.97422683,0.98540145,0.98849374,0.025773168,0.0031380753,0.013792059593062312,2.0,0.9861382246017456,0.8235294,0.70000017,0.87499946,0.7777774,0.29999983,-0.11111105,0.44717199896064647,5.0,0.8247750997543335
0.99364454,0.98736936,0.9969217,0.9903888,0.012630641,-0.00655308,0.006344730044228967,1.0,0.9926204085350037,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99425286,0.9885714,0.991404,0.9971182,0.011428595,0.0057636886,0.0057389164595427035,1.0,0.9940052628517151,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.96103895,0.925,0.98547214,0.937788,0.07499999,-0.048387095,0.9600560070923685,43.01162633521314,0.960320770740509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9950849,0.99021786,0.99198216,0.9982071,0.0097821355,0.006275213,0.004905367672970164,1.0,0.9943121075630188,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9853414,0.9711064,0.9920806,0.9786932,0.02889359,-0.013494318,0.014613092316251063,1.0,0.984001636505127,0.94409937,0.89411765,0.92682916,0.9620252,0.10588235,0.03797468,0.05557270762581043,1.0,0.943985104560852
0.9954338,0.9909091,0.993372,0.9975042,0.0090909,0.0041597337,0.004561921790112309,1.0,0.9946526885032654,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9767442,0.95454544,0.9710982,0.982456,0.04545456,0.011695906,0.023222796876584524,1.0,0.9765172004699707,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9912875,0.9827255,0.99032885,0.99224806,0.017274499,0.0019379845,0.009312021304525991,2.23606797749979,0.9900271892547607,0.9350649,0.8780488,0.9152542,0.95575213,0.12195122,0.044247784,0.07048920551028048,1.0,0.9348243474960327
0.9885496,0.9773585,0.99615383,0.9810606,0.02264148,-0.015151516,0.011392773892773893,1.0,0.9883885383605957,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.98725116,0.9748233,0.9817616,0.9928025,0.025176704,0.011246064,0.01281008687375787,1.0,0.9852548837661743,0.8842105,0.7924529,0.9438201,0.8316831,0.20754713,-0.118811876,0.11634942786196524,1.4142135623730951,0.8853278160095215
0.9682403,0.9384359,0.9757785,0.9608177,0.061564088,-0.015332198,0.05973122733875488,7.0710678118654755,0.9671016931533813,0.93333334,0.875,0.9722221,0.8974358,0.125,-0.07692307,0.06782615531435746,1.4142135623730951,0.9337848424911499
0.9811321,0.962963,0.9709543,0.99152535,0.037037015,0.02118644,0.018760109712356705,1.0,0.9809085130691528,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9748938,0.9510173,0.99058086,0.9596958,0.04898268,-0.031178707,0.028568012221491648,4.242640687119285,0.972888171672821,0.23529458,0.13333392,0.13333325,0.999995,0.8666661,6.4999676,0.6159569554873026,0.0,0.36500120162963867
0.97029704,0.9423077,0.9832776,0.9576547,0.05769229,-0.026058631,0.029533842449860008,1.0,0.9698259830474854,0.9259259,0.862069,0.8620688,0.99999976,0.13793099,0.15999997,0.07253632381356118,0.0,0.9282487034797668
0.99448454,0.9890295,0.9932203,0.9957519,0.010970473,0.002548853,0.005513874688593523,1.0,0.9940614104270935,9.9999e-06,9.9999e-06,0.0,0.0,0.99999,-0.99999,0.0,0.0,0.0
0.9889001,0.9780439,0.9849246,0.9929078,0.021956086,0.00810537,0.011083787732991197,1.0,0.9881987571716309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9883123,0.9768946,0.9971698,0.97961074,0.023105383,-0.017608898,0.011609718992078619,1.0,0.9866064786911011,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
