Liver_DSC,Liver_IoU,Liver_Precision,Liver_Recall,Liver_VOE,Liver_RVD,Liver_ASSD,Liver_MSD,Liver_ICC,Tumor_DSC,Tumor_IoU,Tumor_Precision,Tumor_Recall,Tumor_VOE,Tumor_RVD,Tumor_ASSD,Tumor_MSD,Tumor_ICC
0.994447,0.9889554,0.99721575,0.99169356,0.0110446215,-0.0055376096,0.005545318567801991,1.0,0.9936093091964722,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.989843,0.9798903,0.9925926,0.98710865,0.020109713,-0.005524862,0.02627583563855747,9.219544457292887,0.9887338876724243,0.9795322,0.95988536,0.9738372,0.9852941,0.04011464,0.011764706,0.020434336525307798,1.0,0.9791135787963867
0.9861635,0.9727047,0.99618804,0.97633874,0.027295291,-0.01992528,0.08982794808598654,15.620499351813308,0.9855142831802368,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.98691785,0.97417355,0.98743457,0.9864017,0.025826454,-0.0010460251,0.013821537137761127,2.0,0.9861046075820923,0.8333333,0.71428585,0.8333329,0.8333329,0.28571415,0.0,0.38628095431138215,4.47213595499958,0.8331515789031982
0.9940906,0.9882507,0.9960526,0.9921363,0.011749327,-0.003931848,0.005905532179071532,1.0,0.9931374788284302,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99135447,0.98285717,0.99135447,0.99135447,0.017142832,0.0,0.008645533141210375,1.0,0.9909743070602417,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.9659224,0.9340909,0.9856115,0.9470046,0.06590909,-0.039170507,0.9553780342476497,43.01162633521314,0.9652212858200073,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.99551773,0.9910754,0.99551773,0.99551773,0.008924603,0.0,0.0044822949350067235,1.0,0.9948105812072754,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.98316014,0.96687806,0.9920463,0.9744318,0.033121943,-0.017755682,0.016760952803523303,1.0,0.9816409349441528,0.9433962,0.89285713,0.93749994,0.949367,0.107142866,0.012658226,0.05656645569620253,1.0,0.9431396722793579
0.9950083,0.99006623,0.9950083,0.9950083,0.00993377,0.0,0.004991680532445923,1.0,0.9941532611846924,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
